Position,Title,Author,Description,Article link,PDF Link,Research Methods,Focus Areas,Topics or Themes,Geographical Focus,Temporal Focus
1,Towards Automatic Mapping of Vulnerabilities to Attack Patterns using Large Language Models,"SS Das, A Dutta, S Purohit, E Serra… - … on Technologies for …, 2022 - ieeexplore.ieee.org","… To the best of our knowledge, this is the first work to propose a complete mapping of CVE-CWE-CAPEC
in an automated manner using large language models. We therefore believe …",https://ieeexplore.ieee.org/abstract/document/10025459/,,,,,,
2,Tracing capec attack patterns from cve vulnerability information using natural language processing technique,"K Kanakogi, H Washizaki, Y Fukazawa, S Ogata… - 2021 - scholarspace.manoa.hawaii.edu","… easily identify CAPEC-IDs that are mapping candidates and assist in the mapping process.
… of a topic model [11], [12]. Although we performed a simple natural language process, the …",https://scholarspace.manoa.hawaii.edu/handle/10125/71462,https://scholarspace.manoa.hawaii.edu/bitstreams/164f1948-02b1-425b-8001-cc0ff8eb926c/download,,,,,
3,Tracing cve vulnerability information to capec attack patterns using natural language processing techniques,"K Kanakogi, H Washizaki, Y Fukazawa, S Ogata… - Information, 2021 - mdpi.com","… mapped CVE to CAPEC and ATT&CK in order to find appropriate mitigation [6]. They created
a neural network model … When tracing the relationship between CVE–CWE and CWE–…",https://www.mdpi.com/2078-2489/12/8/298,https://www.mdpi.com/2078-2489/12/8/298/pdf,,,Solutions and Mitigations,,
4,V2w-bert: A framework for effective hierarchical multiclass classification of software vulnerabilities,"SS Das, E Serra, M Halappanavar… - 2021 IEEE 8th …, 2021 - ieeexplore.ieee.org","… Abstract—We consider the problem of automating the mapping … BERT language model is
further fine-tuned with CVE/CWE … For a single CVE, we create 34 CVE-CWE pairs and get the …",https://ieeexplore.ieee.org/abstract/document/9564227/,https://arxiv.org/pdf/2102.11498,,,,,
5,VWC-BERT: Scaling Vulnerability–Weakness–Exploit Mapping on Modern AI Accelerators,"SS Das, M Halappanavar, A Tumeo… - … on Big Data (Big …, 2022 - ieeexplore.ieee.org","… demonstrate higher accuracy using a larger language model, RoBERTa-Large. We show up
to 87% … Similar to the CVE-CWE mapping model, we map CWEs to CAPECs. CAPECs are …",https://ieeexplore.ieee.org/abstract/document/10020622/,,,,,,
6,On the Usage of NLP on CVE Descriptions for Calculating Risk,"T Giannakopoulos, K Maliatsos - conferences.ds.unipi.gr","… map and consequently train our model with the specific threats. … large enough set to use
for training and validation, was deemed substantial. Through the CitySCAPE project, a mapping …",https://conferences.ds.unipi.gr/cybericps2023/assets/papers/9.pdf,https://conferences.ds.unipi.gr/cybericps2023/assets/papers/9.pdf,,,,,
7,Not The End of Story: An Evaluation of ChatGPT-Driven Vulnerability Description Mappings,"X Liu, Y Tan, Z Xiao, J Zhuge… - Findings of the Association …, 2023 - aclanthology.org","… language processing (NLP) technology, large models have … ) is a closed-source large language
model (LLM), and it is … very few papers working on CVECWE mappings, we only use CVE…",https://aclanthology.org/2023.findings-acl.229/,https://aclanthology.org/2023.findings-acl.229.pdf,,,,,
8,Threat Categorization On CVE Descriptions Using Text Classification,G Thrasyvoulos - 2022 - search.proquest.com,"… threats in CVEs and annotating a large enough set to use for … mapping used for this thesis
was a snapshot of the mapping … The mapping uses a combination of CVE - CWE and CWE - …",https://search.proquest.com/openview/75d81820153562e945646cbd66092b40/1?pq-origsite=gscholar&cbl=2026366&diss=y,,,,,,
9,Threat categorization on CVE descriptions using text classification,T Giannakopoulos - 2022 - dione.lib.unipi.gr,"… threats in CVEs and annotating a large enough set to use for … mapping used for this thesis
was a snapshot of the mapping … The mapping uses a combination of CVE - CWE and CWE - …",https://dione.lib.unipi.gr/xmlui/handle/unipi/14541,https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/14541/Giannakopoulos_Thrasyvoulos.pdf?sequence=1,,,,,
10,Threatzoom: neural network for automated vulnerability mitigation,"E Aghaei, E Al-Shaer - Proceedings of the 6th Annual Symposium on Hot …, 2019 - dl.acm.org","… These properties of the existing CVE-CWE dataset impose serious … Mapping a vulnerability
to CWE leads to understanding … Leveraging deep learning, we are mapping CWEs to CAPEC …",https://dl.acm.org/doi/abs/10.1145/3314058.3318167,,,,,,
11,The use of NLP techniques in static code analysis to detect weaknesses and vulnerabilities,"SA Mokhov, J Paquet, M Debbabi - … AI 2014, Montréal, QC, Canada, May …, 2014 - Springer","… We use language models to learn and classify such a code. … if our first estimate of a CVE/CWE
is incorrect, the next one in … directly (ie, no direct mapping from CWE to CVE exists unlike …",https://link.springer.com/chapter/10.1007/978-3-319-06483-3_33,,,,,,
12,A Cybersecurity Knowledge Graph Completion Method Based on Ensemble Learning and Adversarial Training,"P Wang, J Liu, D Hou, S Zhou - Applied Sciences, 2022 - mdpi.com","… to map models to different complex vector spaces for modeling in … language models and
the target is large, the experimental effect is limited. Other knowledge graph completion models […",https://www.mdpi.com/2076-3417/12/24/12947,https://www.mdpi.com/2076-3417/12/24/12947,Experiments,,,,
13,Clustering Software Vulnerabilities Using Self-Organizing Maps: Observations and Analysis,K Panchal - 2022 - search.proquest.com,"… language model. In the second step, also referred to as the Link prediction (LP) component,
the trained BERT model transforms CVE/CWE … The original vectored data set was huge (…",https://search.proquest.com/openview/12f7f44cebacd62b51019e88453d7ab1/1?pq-origsite=gscholar&cbl=18750&diss=y,https://rex.libraries.wsu.edu/view/pdfCoverPage?instCode=01ALLIANCE_WSU&filePid=13366119630001842&download=true,,,,,Future Predictions
